idx,error
0, 0.158563
1, 0.191703
2, 0.105706
3, 0.160011
4, 0.198369
5, 0.103057
6, 0.151892
7, 0.196749
8, 0.102976
9, 0.154258
10, 0.186945
11, 0.100568
12, 0.160798
13, 0.186734
14, 0.099440
15, 0.156434
16, 0.191001
17, 0.097901
18, 0.145249
19, 0.184302
20, 0.096772
21, 0.149226
22, 0.179798
23, 0.095328
24, 0.156584
25, 0.177022
26, 0.094636
27, 0.138528
28, 0.164208
29, 0.093559
30, 0.141501
31, 0.168366
32, 0.094173
33, 0.137004
34, 0.170579
35, 0.091726
36, 0.133449
37, 0.165901
38, 0.090957
39, 0.143825
40, 0.163882
41, 0.093925
42, 0.134235
43, 0.161764
44, 0.090695
45, 0.139622
46, 0.158101
47, 0.092097
48, 0.137234
49, 0.159848
50, 0.089610
51, 0.130978
52, 0.158407
53, 0.090110
54, 0.144170
55, 0.154628
56, 0.091847
57, 0.129808
58, 0.154855
59, 0.087310
60, 0.142364
61, 0.149956
62, 0.087764
63, 0.122851
64, 0.148773
65, 0.086567
66, 0.122686
67, 0.148360
68, 0.088124
69, 0.141522
70, 0.145680
71, 0.086833
72, 0.135513
73, 0.146124
74, 0.085018
75, 0.137903
76, 0.142246
77, 0.085256
78, 0.134823
79, 0.140925
80, 0.086555
81, 0.126744
82, 0.141122
83, 0.086047
84, 0.131897
85, 0.139064
86, 0.087358
87, 0.135919
88, 0.138786
89, 0.084873
90, 0.132325
91, 0.136592
92, 0.085211
93, 0.134027
94, 0.135764
95, 0.084494
96, 0.133131
97, 0.134760
98, 0.085798
99, 0.124625
100, 0.133903
101, 0.086394
102, 0.133247
103, 0.133062
104, 0.084542
105, 0.136142
106, 0.131538
107, 0.083346
108, 0.120443
109, 0.130544
110, 0.085012
111, 0.126910
112, 0.129549
113, 0.086248
114, 0.124560
115, 0.127974
116, 0.084007
117, 0.132522
118, 0.126774
119, 0.083554
120, 0.131263
121, 0.126376
122, 0.087740
123, 0.119299
124, 0.124519
125, 0.082102
126, 0.131789
127, 0.123880
128, 0.081351
129, 0.130122
130, 0.122111
131, 0.083152
132, 0.125639
133, 0.122609
134, 0.083090
135, 0.119954
136, 0.119893
137, 0.082534
138, 0.131554
139, 0.121651
140, 0.079281
141, 0.121210
142, 0.119174
143, 0.079920
144, 0.121909
145, 0.118697
146, 0.080882
147, 0.114627
148, 0.118814
149, 0.080329
150, 0.123584
151, 0.115905
152, 0.078573
153, 0.115027
154, 0.115223
155, 0.076786
156, 0.120795
157, 0.117099
158, 0.074033
159, 0.117732
160, 0.116827
161, 0.074434
162, 0.115368
163, 0.114162
164, 0.075703
165, 0.125175
166, 0.113151
167, 0.072045
168, 0.120801
169, 0.112198
170, 0.072756
171, 0.120193
172, 0.109091
173, 0.071293
174, 0.135164
175, 0.109088
176, 0.077688
177, 0.121077
178, 0.111009
179, 0.075561
180, 0.123723
181, 0.105052
182, 0.071595
183, 0.131594
184, 0.108239
185, 0.075931
186, 0.128697
187, 0.102948
188, 0.072242
189, 0.122004
190, 0.101605
191, 0.069257
192, 0.120782
193, 0.115813
194, 0.082317
195, 0.123413
196, 0.102618
197, 0.069298
198, 0.130182
199, 0.099517
200, 0.074027
201, 0.122898
202, 0.101391
203, 0.071990
204, 0.132473
205, 0.106729
206, 0.072952
207, 0.129095
208, 0.107847
209, 0.069109
210, 0.125636
211, 0.097602
212, 0.077956
213, 0.128109
214, 0.098366
215, 0.078049
216, 0.128249
217, 0.098721
218, 0.073847
219, 0.125818
220, 0.099987
221, 0.069762
222, 0.122473
223, 0.096223
224, 0.068708
225, 0.117627
226, 0.090665
227, 0.064733
228, 0.121921
229, 0.093615
230, 0.076848
231, 0.120008
232, 0.089842
233, 0.073762
234, 0.126772
235, 0.106510
236, 0.069812
237, 0.121366
238, 0.092189
239, 0.062968
240, 0.128864
241, 0.096393
242, 0.072161
243, 0.121111
244, 0.093564
245, 0.073157
246, 0.122564
247, 0.098110
248, 0.069089
249, 0.126172
250, 0.091149
251, 0.065394
252, 0.120242
253, 0.092393
254, 0.072037
255, 0.126135
256, 0.096997
257, 0.072342
258, 0.126635
259, 0.094364
260, 0.087245
261, 0.123068
262, 0.086898
263, 0.072472
264, 0.124942
265, 0.091502
266, 0.079718
267, 0.124953
268, 0.085943
269, 0.066662
270, 0.120227
271, 0.097967
272, 0.073575
273, 0.118098
274, 0.103066
275, 0.072847
276, 0.123686
277, 0.091000
278, 0.073756
279, 0.123038
280, 0.105290
281, 0.073506
282, 0.123007
283, 0.105109
284, 0.082239
285, 0.124635
286, 0.097206
287, 0.088233
288, 0.124349
289, 0.103300
290, 0.080136
291, 0.120643
292, 0.085755
293, 0.080469
294, 0.122122
295, 0.089317
296, 0.078183
297, 0.120274
298, 0.095015
299, 0.089901
300, 0.118762
301, 0.108729
302, 0.082713
303, 0.120262
304, 0.104095
305, 0.075679
306, 0.118811
307, 0.098007
308, 0.097257
309, 0.121201
310, 0.109012
311, 0.094937
312, 0.127824
313, 0.102434
314, 0.094161
315, 0.125758
316, 0.087915
317, 0.085592
318, 0.119967
319, 0.106427
320, 0.094000
321, 0.121324
322, 0.103803
323, 0.086766
324, 0.133782
325, 0.095299
326, 0.087586
327, 0.121391
328, 0.103429
329, 0.084778
330, 0.121935
331, 0.098208
332, 0.102976
333, 0.119410
334, 0.098100
335, 0.077991
336, 0.118836
337, 0.095748
338, 0.083698
339, 0.125352
340, 0.097201
341, 0.099140
342, 0.119385
343, 0.102403
344, 0.091607
345, 0.124158
346, 0.096886
347, 0.099238
348, 0.121695
349, 0.093569
350, 0.089272
351, 0.121945
352, 0.090098
353, 0.087504
354, 0.128159
355, 0.094110
356, 0.094176
357, 0.120265
358, 0.086483
359, 0.080737
360, 0.128258
361, 0.099438
362, 0.077210
363, 0.119826
364, 0.097904
365, 0.079053
366, 0.119429
367, 0.098863
368, 0.086540
369, 0.130519
370, 0.086313
371, 0.082592
372, 0.121809
373, 0.082433
374, 0.072808
375, 0.125285
376, 0.089839
377, 0.072135
378, 0.123476
379, 0.092613
380, 0.088702
381, 0.122143
382, 0.097167
383, 0.094665
384, 0.121020
385, 0.086306
386, 0.091199
387, 0.123771
388, 0.087884
389, 0.076627
390, 0.127920
391, 0.088751
392, 0.091143
393, 0.124320
394, 0.079635
395, 0.079252
396, 0.125004
397, 0.084039
398, 0.095752
399, 0.122853
400, 0.082438
401, 0.078391
402, 0.123271
403, 0.094179
404, 0.092758
405, 0.126227
406, 0.078787
407, 0.076413
408, 0.122062
409, 0.079609
410, 0.095226
411, 0.123133
412, 0.084326
413, 0.103990
414, 0.121587
415, 0.079061
416, 0.081439
417, 0.122596
418, 0.075056
419, 0.104348
420, 0.124589
421, 0.077236
422, 0.107931
423, 0.121828
424, 0.078653
425, 0.095631
426, 0.123270
427, 0.080632
428, 0.101991
429, 0.123265
430, 0.087449
431, 0.120827
432, 0.121724
433, 0.100488
434, 0.126937
