ij,wij
1, -0.519700
2, 0.443362
3, 0.598061
4, 0.198644
5, -0.551352
6, 0.473164
7, 0.413530
8, 0.847875
9, 0.992519
10, 0.275443
11, -0.011736
12, 0.034348
13, -0.676329
14, -0.683190
15, -0.355257
10, -0.520577
11, 0.443826
12, 0.604595
13, 0.205804
14, -0.551577
15, 0.472550
16, 0.413854
17, 0.852451
18, 0.997532
19, 0.275285
20, -0.012793
21, 0.034906
22, -0.668452
23, -0.674561
24, -0.355529
10, -0.521244
11, 0.443400
12, 0.604681
13, 0.205272
14, -0.552038
15, 0.472024
16, 0.413519
17, 0.852518
18, 0.997113
19, 0.274921
20, -0.013291
21, 0.034589
22, -0.668388
23, -0.674958
24, -0.355874
10, -0.521586
11, 0.442413
12, 0.604209
13, 0.204690
14, -0.552055
15, 0.472430
16, 0.414692
17, 0.853078
18, 0.997804
19, 0.274942
20, -0.013010
21, 0.035401
22, -0.668000
23, -0.674480
24, -0.355860
10, -0.522816
11, 0.442774
12, 0.606329
13, 0.208124
14, -0.552419
15, 0.471182
16, 0.415059
17, 0.855229
18, 1.001286
19, 0.274573
20, -0.014424
21, 0.035816
22, -0.665564
23, -0.670535
24, -0.356277
10, -0.523876
11, 0.442698
12, 0.606340
13, 0.208054
14, -0.552826
15, 0.469988
16, 0.414973
17, 0.855241
18, 1.001207
19, 0.274114
20, -0.015298
21, 0.035753
22, -0.665555
23, -0.670593
24, -0.356613
10, -0.524387
11, 0.441000
12, 0.605806
13, 0.207108
14, -0.552951
15, 0.470107
16, 0.415370
17, 0.855366
18, 1.001428
19, 0.274143
20, -0.014872
21, 0.037173
22, -0.665109
23, -0.669802
24, -0.356509
10, -0.525493
11, 0.441413
12, 0.606702
13, 0.208656
14, -0.553495
15, 0.468913
16, 0.415815
17, 0.856332
18, 1.003099
19, 0.273555
20, -0.015862
21, 0.037542
22, -0.664307
23, -0.668416
24, -0.356997
10, -0.526269
11, 0.440976
12, 0.606806
13, 0.206926
14, -0.553652
15, 0.468401
16, 0.415527
17, 0.856401
18, 1.001958
19, 0.273452
20, -0.016757
21, 0.037039
22, -0.664186
23, -0.670409
24, -0.357177
10, -0.526760
11, 0.439218
12, 0.605797
13, 0.205938
14, -0.553655
15, 0.468679
16, 0.416521
17, 0.856971
18, 1.002516
19, 0.273454
20, -0.016933
21, 0.036409
22, -0.664548
23, -0.670763
24, -0.357178
10, -0.527634
11, 0.439561
12, 0.608723
13, 0.209991
14, -0.553941
15, 0.467771
16, 0.416877
17, 0.860009
18, 1.006723
19, 0.273157
20, -0.018112
21, 0.036871
22, -0.660602
23, -0.665297
24, -0.357564
10, -0.528667
11, 0.439332
12, 0.608824
13, 0.208899
14, -0.554106
15, 0.466857
16, 0.416674
17, 0.860098
18, 1.005756
19, 0.273011
20, -0.019369
21, 0.036592
22, -0.660478
23, -0.666626
24, -0.357765
10, -0.528513
11, 0.439695
12, 0.608952
13, 0.209025
14, -0.554133
15, 0.467473
16, 0.418128
17, 0.860610
18, 1.006261
19, 0.272902
20, -0.019728
21, 0.035746
22, -0.660776
23, -0.666920
24, -0.357701
10, -0.529436
11, 0.440085
12, 0.610471
13, 0.211662
14, -0.554491
15, 0.466573
16, 0.418509
17, 0.862092
18, 1.008834
19, 0.272553
20, -0.020699
21, 0.036156
22, -0.659178
23, -0.664146
24, -0.358078
10, -0.530278
11, 0.439914
12, 0.610487
13, 0.211524
14, -0.554953
15, 0.465155
16, 0.418222
17, 0.862120
18, 1.008602
19, 0.271775
20, -0.021847
21, 0.035924
22, -0.659155
23, -0.664333
24, -0.358708
10, -0.530249
11, 0.439993
12, 0.610524
13, 0.211560
14, -0.554957
15, 0.465565
16, 0.419343
17, 0.862643
18, 1.009108
19, 0.271718
20, -0.022133
21, 0.035141
22, -0.659520
23, -0.664685
24, -0.358669
10, -0.531521
11, 0.440132
12, 0.610613
13, 0.211786
14, -0.555444
15, 0.464021
16, 0.419512
17, 0.862751
18, 1.009383
19, 0.271127
20, -0.023065
21, 0.035243
22, -0.659455
23, -0.664519
24, -0.359026
10, -0.532417
11, 0.439829
12, 0.610656
13, 0.210956
14, -0.555648
15, 0.463437
16, 0.419314
17, 0.862779
18, 1.008840
19, 0.270994
20, -0.023745
21, 0.035013
22, -0.659423
23, -0.665151
24, -0.359181
10, -0.532738
11, 0.438283
12, 0.609770
13, 0.209841
14, -0.555715
15, 0.463595
16, 0.420079
17, 0.863217
18, 1.009391
19, 0.271027
20, -0.023593
21, 0.035745
22, -0.659003
23, -0.664623
24, -0.359149
10, -0.533614
11, 0.438415
12, 0.610417
13, 0.210926
14, -0.555989
15, 0.462355
16, 0.420265
17, 0.864132
18, 1.010925
19, 0.270639
20, -0.024825
21, 0.035931
22, -0.658093
23, -0.663098
24, -0.359535
