jk,wjk
1, -0.119317
2, -0.647606
3, -0.348920
4, 0.251490
5, 0.652070
6, -0.583888
7, -0.720002
8, 0.491249
9, -0.838365
10, 0.070389
11, 0.653305
12, -0.749765
13, 0.318137
14, -0.908154
15, 0.270442
1, -0.125682
2, -0.643696
3, -0.357079
4, 0.250631
5, 0.652598
6, -0.584990
7, -0.722380
8, 0.492710
9, -0.841415
10, 0.066001
11, 0.656000
12, -0.755389
13, 0.309154
14, -0.902636
15, 0.258927
1, -0.124025
2, -0.643170
3, -0.357396
4, 0.254438
5, 0.653808
6, -0.585719
7, -0.718594
8, 0.493913
9, -0.842139
10, 0.069359
11, 0.657067
12, -0.756032
13, 0.309826
14, -0.902423
15, 0.258798
1, -0.125935
2, -0.647130
3, -0.355839
4, 0.252891
5, 0.650600
6, -0.584457
7, -0.720059
8, 0.490874
9, -0.840945
10, 0.067683
11, 0.653590
12, -0.754665
13, 0.308090
14, -0.906023
15, 0.260214
1, -0.130989
2, -0.644001
3, -0.363472
4, 0.252178
5, 0.651041
6, -0.585533
7, -0.721237
8, 0.491604
9, -0.842723
10, 0.065548
11, 0.654912
12, -0.757889
13, 0.299959
14, -0.900987
15, 0.247934
1, -0.128874
2, -0.643402
3, -0.363715
4, 0.256282
5, 0.652203
6, -0.586006
7, -0.717097
8, 0.492776
9, -0.843200
10, 0.069547
11, 0.656044
12, -0.758350
13, 0.300522
14, -0.900828
15, 0.247869
1, -0.130707
2, -0.646843
3, -0.361737
4, 0.255077
5, 0.649942
6, -0.584706
7, -0.717900
8, 0.491268
9, -0.842333
10, 0.068487
11, 0.654052
12, -0.757205
13, 0.298885
14, -0.903900
15, 0.249635
1, -0.135265
2, -0.643858
3, -0.368915
4, 0.254337
5, 0.650427
6, -0.585872
7, -0.718621
8, 0.491740
9, -0.843470
10, 0.067219
11, 0.654883
12, -0.759201
13, 0.291728
14, -0.899213
15, 0.238362
1, -0.133873
2, -0.643244
3, -0.369315
4, 0.258224
5, 0.652143
6, -0.586988
7, -0.715308
8, 0.493203
9, -0.844421
10, 0.069675
11, 0.655967
12, -0.759906
13, 0.292076
14, -0.899059
15, 0.238262
1, -0.135373
2, -0.647310
3, -0.367536
4, 0.257242
5, 0.649482
6, -0.585824
7, -0.716466
8, 0.490063
9, -0.843047
10, 0.068269
11, 0.652154
12, -0.758238
13, 0.290558
14, -0.903175
15, 0.240062
1, -0.139791
2, -0.644202
3, -0.374074
4, 0.256609
5, 0.649928
6, -0.586762
7, -0.717825
8, 0.491019
9, -0.845058
10, 0.065944
11, 0.653790
12, -0.761679
13, 0.283366
14, -0.898114
15, 0.229420
1, -0.138113
2, -0.643526
3, -0.374400
4, 0.260594
5, 0.651534
6, -0.587537
7, -0.714181
8, 0.492488
9, -0.845767
10, 0.068986
11, 0.655016
12, -0.762271
13, 0.283731
14, -0.897967
15, 0.229349
1, -0.139044
2, -0.647007
3, -0.373302
4, 0.259608
5, 0.647849
6, -0.586375
7, -0.715434
8, 0.487805
9, -0.844290
10, 0.067721
11, 0.650287
12, -0.760779
13, 0.282801
14, -0.901444
15, 0.230445
1, -0.143369
2, -0.643972
3, -0.380007
4, 0.258962
5, 0.648302
6, -0.587375
7, -0.716323
8, 0.488429
9, -0.845669
10, 0.066101
11, 0.651424
12, -0.763291
13, 0.276210
14, -0.896820
15, 0.220226
1, -0.140759
2, -0.642734
3, -0.380341
4, 0.262868
5, 0.650156
6, -0.587875
7, -0.712435
8, 0.490275
9, -0.846167
10, 0.069878
11, 0.653217
12, -0.763775
13, 0.277104
14, -0.896395
15, 0.220112
1, -0.141577
2, -0.646072
3, -0.379090
4, 0.262055
5, 0.646836
6, -0.586631
7, -0.713452
8, 0.486122
9, -0.844611
10, 0.068837
11, 0.648969
12, -0.762183
13, 0.276278
14, -0.899771
15, 0.221377
1, -0.145098
2, -0.643633
3, -0.385068
4, 0.261736
5, 0.647057
6, -0.587172
7, -0.713625
8, 0.486242
9, -0.844905
10, 0.068494
11, 0.649207
12, -0.762767
13, 0.270303
14, -0.895633
15, 0.211233
1, -0.143863
2, -0.643149
3, -0.385290
4, 0.265587
5, 0.648566
6, -0.587864
7, -0.709845
8, 0.487724
9, -0.845583
10, 0.071732
11, 0.650477
12, -0.763348
13, 0.270692
14, -0.895481
15, 0.211164
1, -0.144808
2, -0.646490
3, -0.383048
4, 0.264959
5, 0.646345
6, -0.586374
7, -0.710381
8, 0.485829
9, -0.844312
10, 0.071040
11, 0.648031
12, -0.761707
13, 0.269818
14, -0.898570
15, 0.213236
1, -0.147756
2, -0.644266
3, -0.387978
4, 0.264644
5, 0.646583
6, -0.586900
7, -0.710884
8, 0.486208
9, -0.845152
10, 0.070207
11, 0.648659
12, -0.763100
13, 0.263971
14, -0.894158
15, 0.203458
1, -0.145796
2, -0.643341
3, -0.388281
4, 0.268456
5, 0.648381
6, -0.587489
7, -0.707201
8, 0.487946
9, -0.845721
10, 0.073603
11, 0.650261
12, -0.763625
13, 0.264462
14, -0.893926
