kl,wkl
1, 0.152111
2, -0.187806
3, 0.512401
4, -0.571902
5, 0.113545
6, -0.046309
7, 0.949484
8, 0.016037
9, 0.342729
1, 0.128875
2, -0.167274
3, 0.487577
4, -0.585832
5, 0.125854
6, -0.061191
7, 0.933424
8, 0.030228
9, 0.325572
1, 0.117324
2, -0.182993
3, 0.500338
4, -0.607324
5, 0.096609
6, -0.037449
7, 0.929997
8, 0.025564
9, 0.329358
1, 0.135831
2, -0.200491
3, 0.478393
4, -0.587916
5, 0.078258
6, -0.060463
7, 0.938928
8, 0.017121
9, 0.318768
1, 0.111280
2, -0.179139
3, 0.452993
4, -0.601390
5, 0.089978
6, -0.074403
7, 0.919299
8, 0.034192
9, 0.298461
1, 0.100884
2, -0.194022
3, 0.465920
4, -0.621946
5, 0.060552
6, -0.048845
7, 0.916783
8, 0.030591
9, 0.301589
1, 0.118967
2, -0.211967
3, 0.442741
4, -0.606487
5, 0.045211
6, -0.068660
7, 0.927401
8, 0.020054
9, 0.287979
1, 0.094374
2, -0.190337
3, 0.417608
4, -0.619877
5, 0.056988
6, -0.082344
7, 0.906925
8, 0.038062
9, 0.267053
1, 0.082480
2, -0.205785
3, 0.431348
4, -0.640786
5, 0.029832
6, -0.058191
7, 0.902692
8, 0.032565
9, 0.271943
1, 0.101256
2, -0.222385
3, 0.410425
4, -0.621833
5, 0.013077
6, -0.079310
7, 0.911303
8, 0.024951
9, 0.262347
1, 0.078055
2, -0.201037
3, 0.386391
4, -0.635234
5, 0.025406
6, -0.093191
7, 0.893486
8, 0.041345
9, 0.243891
1, 0.067281
2, -0.215703
3, 0.400249
4, -0.655202
5, -0.001778
6, -0.067505
7, 0.890215
8, 0.036892
9, 0.248099
1, 0.086451
2, -0.230810
3, 0.381687
4, -0.628840
5, -0.022552
6, -0.093031
7, 0.897036
8, 0.031517
9, 0.241493
1, 0.062989
2, -0.209123
3, 0.357751
4, -0.641754
5, -0.010616
6, -0.106205
7, 0.878387
8, 0.048754
9, 0.222468
1, 0.052770
2, -0.223093
3, 0.371724
4, -0.660586
5, -0.036362
6, -0.080456
7, 0.875891
8, 0.045341
9, 0.225881
1, 0.072069
2, -0.238122
3, 0.353042
4, -0.635493
5, -0.055902
6, -0.104746
7, 0.883284
8, 0.039584
9, 0.218724
1, 0.047533
2, -0.215896
3, 0.328795
4, -0.647876
5, -0.044684
6, -0.116984
7, 0.861479
8, 0.059336
9, 0.197176
1, 0.037463
2, -0.229673
3, 0.343238
4, -0.667175
5, -0.071086
6, -0.089304
7, 0.858558
8, 0.055340
9, 0.201365
1, 0.056795
2, -0.245940
3, 0.322366
4, -0.649303
5, -0.086125
6, -0.108600
7, 0.868501
8, 0.046973
9, 0.190630
1, 0.033055
2, -0.223743
3, 0.298818
4, -0.661984
5, -0.074268
6, -0.121178
7, 0.848153
8, 0.065998
9, 0.170447
1, 0.023264
2, -0.237131
3, 0.313453
4, -0.680407
5, -0.099458
6, -0.093642
7, 0.845594
8, 0.062499
9, 0.174271
1, 0.043336
2, -0.252422
3, 0.293950
4, -0.656499
5, -0.117671
6, -0.116873
7, 0.855277
8, 0.055123
9, 0.164863
1, 0.020124
2, -0.230279
3, 0.271028
4, -0.668501
5, -0.106222
6, -0.128725
7, 0.836140
8, 0.073378
9, 0.145966
1, 0.010609
2, -0.243336
3, 0.286016
4, -0.686946
5, -0.131533
6, -0.099671
7, 0.833503
8, 0.069760
9, 0.150120
1, 0.030331
2, -0.256752
3, 0.269127
4, -0.656490
5, -0.152251
6, -0.125751
7, 0.839781
8, 0.065489
9, 0.144744
1, 0.007381
2, -0.234639
3, 0.246648
4, -0.667449
5, -0.141692
6, -0.136485
7, 0.821436
8, 0.083164
9, 0.126776
1, -0.002019
2, -0.247277
3, 0.261826
4, -0.685487
5, -0.165945
6, -0.107358
7, 0.819026
8, 0.079923
9, 0.130669
1, 0.017369
2, -0.262678
3, 0.242035
4, -0.666952
5, -0.180669
6, -0.126279
7, 0.830407
8, 0.070882
9, 0.119050
1, -0.002824
2, -0.241294
3, 0.221236
4, -0.679323
5, -0.167567
6, -0.139022
7, 0.816956
8, 0.085127
9, 0.105194
1, -0.011953
2, -0.253584
3, 0.236568
4, -0.696884
5, -0.191210
6, -0.109530
7, 0.814729
8, 0.082130
9, 0.108933
1, 0.008403
2, -0.268244
3, 0.217532
4, -0.673034
5, -0.208387
6, -0.131834
7, 0.826078
8, 0.073957
9, 0.098320
1, -0.013177
2, -0.246261
3, 0.196304
4, -0.684252
5, -0.196959
6, -0.142869
7, 0.810162
8, 0.090170
9, 0.082665
1, -0.022819
2, -0.258542
3, 0.212028
4, -0.701474
5, -0.218895
6, -0.114784
7, 0.807723
8, 0.087064
9, 0.086642
1, -0.002570
2, -0.273529
3, 0.192668
4, -0.681865
5, -0.233408
6, -0.133532
7, 0.818418
8, 0.079148
9, 0.076416
1, -0.025028
2, -0.251141
3, 0.171336
4, -0.693060
5, -0.222249
6, -0.144165
7, 0.799861
8, 0.097647
9, 0.058790
1, -0.033759
2, -0.262791
3, 0.187057
4, -0.709949
5, -0.244786
6, -0.113752
7, 0.797875
8, 0.094997
9, 0.062367
1, -0.013456
2, -0.277865
3, 0.167554
4, -0.690548
5, -0.259190
6, -0.132389
7, 0.810233
8, 0.085822
9, 0.050496
1, -0.035128
2, -0.255641
3, 0.146871
4, -0.701341
5, -0.248122
6, -0.142689
7, 0.793538
8, 0.102941
9, 0.034563
1, -0.043937
2, -0.267161
3, 0.163003
4, -0.718243
5, -0.270225
6, -0.111738
7, 0.791272
8, 0.099977
9, 0.038714
1, -0.023666
2, -0.280051
3, 0.146159
4, -0.692073
5, -0.286867
6, -0.133484
7, 0.799027
8, 0.095046
9, 0.032270
1, -0.045120
2, -0.257784
3, 0.125826
4, -0.703114
5, -0.275408
6, -0.143948
7, 0.782266
8, 0.112442
9, 0.016384
1, -0.055604
2, -0.269995
3, 0.142963
4, -0.720265
5, -0.295383
6, -0.115914
7, 0.778760
8, 0.108359
9, 0.022114
1, -0.034839
2, -0.284235
3, 0.124480
4, -0.699253
5, -0.309791
6, -0.134616
7, 0.789784
8, 0.100799
9, 0.012302
1, -0.056054
2, -0.261702
3, 0.104487
4, -0.711687
5, -0.296586
6, -0.146334
7, 0.772281
8, 0.119389
9, -0.004193
1, -0.064910
2, -0.272858
3, 0.121007
4, -0.727978
5, -0.317107
6, -0.115944
7, 0.770060
8, 0.116592
9, -0.000051
1, -0.044164
2, -0.285752
3, 0.104033
4, -0.702338
5, -0.333043
6, -0.136922
7, 0.779165
8, 0.110933
9, -0.007500
1, -0.064708
2, -0.263443
3, 0.084538
4, -0.713895
5, -0.320493
6, -0.147888
7, 0.763583
8, 0.127853
9, -0.022286
1, -0.074296
2, -0.274829
3, 0.101649
4, -0.730231
5, -0.339893
6, -0.118732
7, 0.760827
8, 0.124582
9, -0.017368
1, -0.053622
2, -0.287859
3, 0.084653
4, -0.707029
5, -0.354516
6, -0.137806
7, 0.769486
8, 0.119124
9, -0.024487
1, -0.075147
2, -0.265292
3, 0.065074
4, -0.717990
5, -0.343025
6, -0.147776
7, 0.751463
8, 0.138020
9, -0.040881
1, -0.083655
2, -0.275882
3, 0.081742
4, -0.733686
5, -0.362563
6, -0.117025
7, 0.749553
8, 0.135641
9, -0.037138
1, -0.062905
2, -0.289516
3, 0.064198
4, -0.712398
5, -0.376551
6, -0.135025
7, 0.761155
8, 0.128017
9, -0.046948
1, -0.084462
2, -0.266898
3, 0.044911
4, -0.723243
5, -0.365172
6, -0.144728
7, 0.742728
8, 0.147352
9, -0.063435
1, -0.093485
2, -0.277651
3, 0.062346
4, -0.739316
5, -0.384327
6, -0.113673
7, 0.740074
8, 0.144189
9, -0.058307
1, -0.072298
2, -0.289045
3, 0.046596
4, -0.708074
5, -0.401128
6, -0.136898
7, 0.747301
8, 0.140303
9, -0.063679
1, -0.093049
2, -0.266526
3, 0.027779
4, -0.719114
5, -0.389147
6, -0.146909
7, 0.730536
8, 0.158497
9, -0.078882
1, -0.102769
2, -0.277487
3, 0.045751
4, -0.735286
5, -0.407382
6, -0.117008
7, 0.727389
8, 0.154948
9, -0.073063
1, -0.081442
2, -0.291216
3, 0.028169
4, -0.715222
5, -0.420298
6, -0.133549
7, 0.738015
8, 0.148107
9, -0.081823
1, -0.102772
2, -0.268572
3, 0.009466
4, -0.725926
5, -0.408935
6, -0.142935
7, 0.719478
8, 0.167786
9, -0.098078
1, -0.110832
2, -0.278410
3, 0.026714
4, -0.741230
5, -0.427617
6, -0.110183
7, 0.717596
8, 0.165490
9, -0.094051
1, -0.089777
2, -0.289491
3, 0.011288
4, -0.711093
5, -0.443477
6, -0.132263
7, 0.724394
8, 0.161912
9, -0.099032
1, -0.109685
2, -0.266928
3, -0.006821
4, -0.722796
5, -0.430212
6, -0.142908
7, 0.708548
8, 0.179872
9, -0.113446
1, -0.117949
2, -0.276710
3, 0.010701
4, -0.738148
5, -0.448383
6, -0.110362
7, 0.706524
8, 0.177477
9, -0.109156
1, -0.096868
2, -0.291028
3, -0.006934
4, -0.720083
5, -0.460652
6, -0.125474
7, 0.720223
8, 0.168173
9, -0.120616
1, -0.116772
2, -0.268480
3, -0.024790
4, -0.731410
